Rank,Code,Company,Price,Change,% Chg,Mkt Cap,1 Year
"1,528",14D,1414 Degrees Ltd,$0.11,0.011,11.11%,$15.50 M,-61.40%
"1,483",1AD,Adalta Ltd,$0.10,0,0.00%,$16.72 M,-40.00%
"1,885",1AG,Alterra Ltd,$0.04,0,0.00%,$5.58 M,2.78%
"1,256",1AL,Oneall International Ltd,$0.23,-0.04,-14.82%,$29.90 M,-72.62%
"1,568",1ST,1ST Group Ltd,$0.03,0,0.00%,$13.59 M,-64.44%
"1,293",2BE,Tubi Ltd,$0.11,0,0.00%,$26.75 M,-72.15%
401,360,LIFE360 Inc,$2.64,-0.08,-2.94%,$390.41 M,-30.53%
"1,587",3DA,Amaero International Ltd,$0.17,-0.015,-8.33%,$13.28 M,-58.75%
"1,208",3DP,Pointerra Ltd,$0.05,0,0.00%,$33.11 M,14.89%
673,3PL,3P Learning Ltd,$0.92,0,0.00%,$128.33 M,-4.66%
"1,828",4CE,Force Commodities Ltd,$0.01,0,0.00%,$6.69 M,-40.00%
971,4DS,4DS Memory Ltd,$0.05,-0.001,-2.17%,$55.82 M,-25.00%
748,5GN,5G Networks Ltd,$1.22,-0.02,-1.62%,$105.40 M,-25.00%
"1,081",88E,88 Energy Ltd,$0.01,-0.001,-16.67%,$43.38 M,-72.22%
"1,563",8CO,8COMMON Ltd,$0.08,0.005,7.14%,$13.72 M,-53.13%
"2,031",8EC,8IP Emerging Companies Ltd,$0.08,0,0.00%,$3.20 M,-90.13%
"1,216",8IH,8I Holdings Ltd,$0.09,0,0.00%,$32.56 M,50.00%
"1,456",8VI,8VIC Holdings Ltd,$0.42,0,0.00%,$18.30 M,-14.29%
"1,175",9SP,9 Spokes International Ltd,$0.03,0,0.00%,$35.25 M,26.09%
"1,942",A1G,African Gold Ltd,$0.15,0,0.00%,$4.56 M,-11.77%
"1,440",A1M,Aic Mines Ltd,$0.37,0,0.00%,$18.98 M,-1.94%
292,A200,Betashares Australia 200 ETF,$98.87,-0.79,-0.79%,$722.10 M,-11.91%
787,A2B,A2B Australia Ltd,$0.78,-0.02,-2.50%,$93.94 M,-54.25%
26,A2M,The a2 Milk Company Ltd,$19.40,0.07,0.36%,$14.35 B,22.94%
"1,596",A3D,Aurora Labs Ltd,$0.11,0,0.00%,$12.90 M,-70.27%
699,A40,Alita Resources Ltd,$0.08,0,0.00%,$121.07 M,-36.92%
612,A4N,Alpha Hpa Ltd,$0.23,0,0.00%,$156.49 M,100.00%
166,AAA,Betashares Australian High Interest Cash ETF,$50.07,-0.01,-0.02%,$1.75 B,-0.04%
319,AAC,Australian Agricultural Company Ltd,$1.05,-0.01,-0.94%,$632.91 M,1.94%
"2,026",AAJ,Aruma Resources Ltd,$0.00,0,0.00%,$3.29 M,33.33%
"1,857",AAP,Australian Agricultural Projects Ltd,$0.02,0,0.00%,$6.09 M,39.69%
911,AAR,Anglo Australian Resources NL,$0.14,0,0.00%,$65.35 M,137.29%
"1,291",AASF,Airlie Australian Share Fund (Managed Fund),$2.58,-0.03,-1.15%,$26.79 M,-3.37%
547,ABA,Auswide Bank Ltd,$4.78,0,0.00%,$202.84 M,-8.95%
193,ABC,Adbri Ltd,$2.17,-0.04,-1.81%,$1.42 B,-47.84%
"2,180",ABL,Abilene Oil and Gas Ltd,$0.00,0,0.00%,$397.61 TH,-50.00%
174,ABP,Abacus Property Group,$2.56,0,0.00%,$1.67 B,-39.62%
589,ABR,American Pacific Borates Ltd,$0.56,-0.02,-3.48%,$169.34 M,131.25%
"1,588",ABV,Advanced Braking Technology Ltd,$0.04,0.002,6.06%,$13.27 M,84.21%
"2,135",ABW,Aurora Absolute Return Fund,$0.19,0,0.00%,$1.54 M,0.00%
"1,489",ABX,Australian Bauxite Ltd,$0.11,-0.01,-8.33%,$16.53 M,-18.52%
"1,053",AC8,Auscann Group Holdings Ltd,$0.15,0,0.00%,$45.97 M,-65.06%
"1,777",ACB,A-Cap Energy Ltd,$0.01,0,0.00%,$7.85 M,-73.53%
"1,397",ACDC,ETFs Battery Tech & Lithium ETF,$55.25,-0.5,-0.90%,$21.02 M,17.60%
910,ACF,Acrow Formwork and Construction Services Ltd,$0.30,0,0.00%,$65.55 M,-9.09%
"1,826",ACP,Audalia Resources Ltd,$0.01,0,0.00%,$6.72 M,25.00%
"1,025",ACQ,Acorn Capital Investment Fund Ltd,$0.91,-0.01,-1.09%,$48.80 M,-12.50%
"1,332",ACR,ACRUX Ltd,$0.15,-0.005,-3.33%,$24.44 M,-23.68%
"2,165",ACS,Accent Resources NL,$0.01,0,0.00%,$905.00 TH,-16.67%
"1,590",ACU,Acumentis Group Ltd,$0.09,0,0.00%,$13.23 M,-52.78%
"1,278",ACW,Actinogen Medical Ltd,$0.03,0.001,4.17%,$27.91 M,127.27%
"1,399",AD1,AD1 Holdings Ltd,$0.04,-0.002,-5.00%,$20.83 M,216.67%
